# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:ppp'
# Event count (approx.): 1045
#
# Overhead  Command      Source Shared Object   Source Symbol                            Target Symbol                            Basic Block Cycles
# ........  ...........  .....................  .......................................  .......................................  ..................
#
     0.10%  memcached    [kernel.kallsyms]      [k] intel_pmu_lbr_enable_all             [k] __intel_pmu_enable_all.constprop.23  2                 
     0.10%  memcached    [kernel.kallsyms]      [k] nmi_handle                           [k] __indirect_thunk_start               2                 
     0.10%  memcached    [kernel.kallsyms]      [k] nmi_handle                           [k] __indirect_thunk_start               1                 
     0.10%  memcached    [kernel.kallsyms]      [k] native_sched_clock                   [k] sched_clock                          33                
     0.10%  memcached    [kernel.kallsyms]      [k] native_sched_clock                   [k] sched_clock                          27                
     0.10%  memcached    [kernel.kallsyms]      [k] native_sched_clock                   [k] sched_clock                          24                
     0.10%  memcached    [kernel.kallsyms]      [k] sched_clock                          [k] perf_event_nmi_handler               1                 
     0.10%  memcached    [kernel.kallsyms]      [k] nmi_cpu_backtrace_handler            [k] nmi_handle                           1                 
     0.10%  memcached    [kernel.kallsyms]      [k] nmi_cpu_backtrace_handler            [k] nmi_cpu_backtrace                    27                
     0.10%  memcached    [kernel.kallsyms]      [k] native_set_pte                       [k] __set_pte_vaddr                      4                 
     0.10%  memcached    [kernel.kallsyms]      [k] native_set_pte                       [k] __set_pte_vaddr                      2                 
     0.10%  memcached    [kernel.kallsyms]      [k] native_read_msr                      [k] intel_pmu_handle_irq                 110               
     0.10%  memcached    [kernel.kallsyms]      [k] native_read_msr                      [k] intel_pmu_handle_irq                 87                
     0.10%  memcached    [kernel.kallsyms]      [k] native_flush_tlb_one_user            [k] __set_pte_vaddr                      675               
     0.10%  memcached    [kernel.kallsyms]      [k] native_write_msr                     [k] __intel_pmu_enable_all.constprop.23  474               
     0.10%  memcached    [kernel.kallsyms]      [k] native_write_msr                     [k] __intel_pmu_enable_all.constprop.23  151               
     0.10%  memcached    [kernel.kallsyms]      [.] native_write_msr                     [.] __intel_pmu_enable_all.constprop.23  150               
     0.10%  memcached    [kernel.kallsyms]      [k] native_write_msr                     [k] __intel_pmu_enable_all.constprop.23  149               
     0.10%  memcached    [kernel.kallsyms]      [k] native_write_msr                     [k] intel_pmu_pebs_enable_all            844               
     0.10%  memcached    [kernel.kallsyms]      [k] native_write_msr                     [k] intel_pmu_pebs_enable_all            658               
     0.10%  memcached    [kernel.kallsyms]      [k] native_write_msr                     [k] intel_pmu_pebs_enable_all            603               
     0.10%  memcached    [kernel.kallsyms]      [k] native_write_msr                     [k] intel_pmu_pebs_enable_all            536               
     0.10%  memcached    [kernel.kallsyms]      [k] native_write_msr                     [k] intel_pmu_pebs_enable_all            446               
     0.10%  memcached    [kernel.kallsyms]      [k] fill_pte                             [k] __set_pte_vaddr                      9                 
     0.10%  memcached    [kernel.kallsyms]      [k] fill_pte                             [k] __set_pte_vaddr                      8                 
     0.10%  memcached    [kernel.kallsyms]      [k] fill_pmd                             [k] __set_pte_vaddr                      11                
     0.10%  memcached    [kernel.kallsyms]      [k] fill_pmd                             [k] __set_pte_vaddr                      8                 
     0.10%  memcached    [kernel.kallsyms]      [k] __set_pte_vaddr                      [k] fill_pmd                             4                 
     0.10%  memcached    [kernel.kallsyms]      [k] __set_pte_vaddr                      [k] fill_pmd                             3                 
     0.10%  memcached    [kernel.kallsyms]      [k] __set_pte_vaddr                      [k] set_pte_vaddr                        2                 
     0.10%  memcached    [kernel.kallsyms]      [k] set_pte_vaddr                        [k] __native_set_fixmap                  2                 
     0.10%  memcached    [kernel.kallsyms]      [k] __native_set_fixmap                  [k] set_pte_vaddr                        4                 
     0.10%  memcached    [kernel.kallsyms]      [k] __native_set_fixmap                  [k] set_pte_vaddr                        3                 
     0.10%  memcached    [kernel.kallsyms]      [k] __native_set_fixmap                  [k] native_set_fixmap                    13                
     0.10%  memcached    [kernel.kallsyms]      [k] native_set_fixmap                    [k] __native_set_fixmap                  6                 
     0.10%  memcached    [kernel.kallsyms]      [k] native_set_fixmap                    [k] __native_set_fixmap                  5                 
     0.10%  memcached    [kernel.kallsyms]      [k] native_set_fixmap                    [k] ghes_copy_tofrom_phys                1                 
     0.10%  memcached    [kernel.kallsyms]      [.] finish_task_switch                   [.] __sched_text_start                   254               
     0.10%  memcached    [kernel.kallsyms]      [k] finish_task_switch                   [k] __sched_text_start                   137               
     0.10%  memcached    [kernel.kallsyms]      [k] finish_task_switch                   [k] __sched_text_start                   111               
     0.10%  memcached    [kernel.kallsyms]      [k] hrtimer_active                       [k] hrtimer_try_to_cancel                62                
     0.10%  memcached    [kernel.kallsyms]      [.] hrtimer_active                       [.] hrtimer_try_to_cancel                36                
     0.10%  memcached    [kernel.kallsyms]      [k] hrtimer_active                       [k] hrtimer_try_to_cancel                21                
     0.10%  memcached    [kernel.kallsyms]      [k] hrtimer_try_to_cancel                [k] hrtimer_active                       23                
     0.10%  memcached    [kernel.kallsyms]      [.] hrtimer_try_to_cancel                [.] hrtimer_active                       4                 
     0.10%  memcached    [kernel.kallsyms]      [k] hrtimer_try_to_cancel                [k] hrtimer_active                       3                 
     0.10%  memcached    [kernel.kallsyms]      [k] hrtimer_try_to_cancel                [k] schedule_hrtimeout_range_clock       32                
     0.10%  memcached    [kernel.kallsyms]      [.] hrtimer_try_to_cancel                [.] schedule_hrtimeout_range_clock       8                 
     0.10%  memcached    [kernel.kallsyms]      [k] hrtimer_try_to_cancel                [k] schedule_hrtimeout_range_clock       3                 
     0.10%  memcached    [kernel.kallsyms]      [k] perf_ctx_unlock                      [k] perf_pmu_sched_task                  16                
     0.10%  memcached    [kernel.kallsyms]      [.] perf_ctx_unlock                      [.] perf_pmu_sched_task                  14                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_ctx_unlock                      [k] perf_pmu_sched_task                  13                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_pmu_sched_task                  [k] __perf_event_task_sched_in           19                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_pmu_sched_task                  [k] __perf_event_task_sched_in           8                 
     0.10%  memcached    [kernel.kallsyms]      [.] perf_pmu_sched_task                  [.] __perf_event_task_sched_in           7                 
     0.10%  memcached    [kernel.kallsyms]      [k] __perf_event_overflow                [k] perf_event_overflow                  42                
     0.10%  memcached    [kernel.kallsyms]      [k] __perf_event_overflow                [k] perf_event_overflow                  21                
     0.10%  memcached    [kernel.kallsyms]      [k] __perf_event_overflow                [k] perf_event_overflow                  10                
     0.10%  memcached    [kernel.kallsyms]      [k] __perf_event_overflow                [k] perf_event_overflow                  9                 
     0.10%  memcached    [kernel.kallsyms]      [k] __perf_event_overflow                [k] perf_event_overflow                  7                 
     0.10%  memcached    [kernel.kallsyms]      [k] perf_sample_event_took               [k] perf_event_nmi_handler               4                 
     0.10%  memcached    [kernel.kallsyms]      [k] __perf_event_task_sched_in           [k] finish_task_switch                   11                
     0.10%  memcached    [kernel.kallsyms]      [k] __perf_event_task_sched_in           [k] finish_task_switch                   7                 
     0.10%  memcached    [kernel.kallsyms]      [.] __perf_event_task_sched_in           [.] finish_task_switch                   6                 
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_event_output_forward            45                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_event_output_forward            15                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_event_output_forward            14                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_output_copy                     63                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_sample                   [k] perf_output_copy                     5                 
     0.10%  memcached    [kernel.kallsyms]      [k] perf_event_output_forward            [k] __perf_event_overflow                16                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_event_output_forward            [k] __perf_event_overflow                10                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_event_output_forward            [k] perf_output_end                      5                 
     0.10%  memcached    [kernel.kallsyms]      [k] perf_event_overflow                  [k] __intel_pmu_pebs_event               7                 
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_put_handle               [k] perf_output_end                      110               
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_put_handle               [k] perf_output_end                      37                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_put_handle               [k] perf_output_end                      11                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_copy                     [k] memcpy                               14                
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_end                      [k] perf_event_output_forward            8                 
     0.10%  memcached    [kernel.kallsyms]      [k] perf_output_end                      [k] perf_output_put_handle               434               
     0.10%  memcached    [kernel.kallsyms]      [.] fput_many                            [.] fput                                 787               
     0.10%  memcached    [kernel.kallsyms]      [.] fput_many                            [.] fput                                 260               
     0.10%  memcached    [kernel.kallsyms]      [k] fput                                 [k] fput_many                            22                
     0.10%  memcached    [kernel.kallsyms]      [.] ep_poll                              [.] sys_epoll_wait                       96                
     0.10%  memcached    [kernel.kallsyms]      [k] ep_poll                              [k] sys_epoll_wait                       8                 
     0.10%  memcached    [kernel.kallsyms]      [.] ep_poll                              [.] _raw_spin_unlock_irqrestore          133               
     0.10%  memcached    [kernel.kallsyms]      [k] ep_poll                              [k] _raw_spin_unlock_irqrestore          26                
     0.10%  memcached    [kernel.kallsyms]      [k] sys_epoll_wait                       [k] fput                                 96                
     0.10%  memcached    [kernel.kallsyms]      [k] find_first_bit                       [k] intel_pmu_handle_irq                 28                
     0.10%  memcached    [kernel.kallsyms]      [k] find_first_bit                       [k] intel_pmu_handle_irq                 6                 
     0.10%  memcached    [kernel.kallsyms]      [k] ghes_copy_tofrom_phys                [k] __indirect_thunk_start               68                
     0.10%  memcached    [kernel.kallsyms]      [k] nmi_cpu_backtrace                    [k] nmi_cpu_backtrace_handler            25                
     0.10%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     76                
     0.10%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     68                
     0.10%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     67                
     0.10%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     66                
     0.10%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     30                
     0.10%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     26                
     0.10%  memcached    [kernel.kallsyms]      [k] memcpy_erms                          [k] perf_output_copy                     23                
     0.10%  memcached    [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock       [k] hrtimer_try_to_cancel                24                
     0.10%  memcached    [kernel.kallsyms]      [.] schedule_hrtimeout_range_clock       [.] hrtimer_try_to_cancel                4                 
     0.10%  memcached    [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock       [k] hrtimer_try_to_cancel                2                 
     0.10%  memcached    [kernel.kallsyms]      [.] schedule_hrtimeout_range_clock       [.] schedule_hrtimeout_range             63                
     0.10%  memcached    [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock       [k] schedule_hrtimeout_range             46                
     0.10%  memcached    [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock       [k] schedule_hrtimeout_range             15                
     0.10%  memcached    [kernel.kallsyms]      [.] schedule_hrtimeout_range             [.] ep_poll                              36                
     0.10%  memcached    [kernel.kallsyms]      [k] schedule_hrtimeout_range             [k] ep_poll                              25                
     0.10%  memcached    [kernel.kallsyms]      [k] schedule_hrtimeout_range             [k] ep_poll                              22                
     0.10%  memcached    [kernel.kallsyms]      [.] _raw_spin_unlock_irqrestore          [.] ep_poll                              33                
     0.10%  memcached    [kernel.kallsyms]      [k] _raw_spin_unlock_irqrestore          [k] ep_poll                              30                
     0.10%  memcached    [kernel.kallsyms]      [k] _raw_spin_lock_irqsave               [k] ep_poll                              474               
     0.10%  memcached    [kernel.kallsyms]      [.] _raw_spin_lock_irqsave               [.] ep_poll                              247               
     0.10%  memcached    [kernel.kallsyms]      [.] syscall_return_via_sysret            [.] epoll_wait                           344               
     0.10%  memcached    [kernel.kallsyms]      [.] syscall_return_via_sysret            [.] epoll_wait                           332               
     0.10%  memcached    [kernel.kallsyms]      [k] __indirect_thunk_start               [k] nmi_cpu_backtrace_handler            1                 
     0.10%  memcached    [kernel.kallsyms]      [k] __indirect_thunk_start               [k] native_apic_mem_write                2                 
     0.10%  memcached    [kernel.kallsyms]      [k] __indirect_thunk_start               [k] native_set_fixmap                    1                 
     0.10%  memcached    [kernel.kallsyms]      [k] __indirect_thunk_start               [k] ghes_notify_nmi                      1                 


#
# (Cannot load tips.txt file, please install perf!)
#
